barbarian-oooh-huh,51分钟前,1.0版：对外武力殖民，本国消费停滞、就把多余的商品倾销到殖民地，又用殖民地的廉价原材料为本国资产阶级开源节流、攫取更多财富。1.5版：本国和殖民地连成社会整体，又发生上述的周期性危机。反复加大剂量，反复开拓更多殖民地。直到全世界都纳入了资本主义的版图、殖无可殖，开始抢夺其他资本家 ​,女,广东,25
深冬二月,3月13日 15:00,经验地看，不难发现，外资和民资的“躺平”是两个互相关联又有区别的现象，各自的“躺平”有各自的原因，也有一些共同的原因。总体上，无论是外资还是民资，“躺平”既有包括地缘政治、西方贸易保护主义等国际因素的影响，也有中国本身的一些内部因素的影响。——凤凰网资讯  ​,女,湖南,20
曼殊室利菩萨,3月13日 14:34,最近菩萨给人看命，人太多了，很多人都在问为什么卷得这么痛苦，而且完全看不到希望？其实这就是视角问题。2k年r家封建社会与资本主义的路线完全不同。r家这套东西是种菜，內割，资本主义则是不断地实现扩张和外部Z民，从其他地方割。印度主要是底层卷，西方底层 ​,男,上海,21
认知提升,3月13日 13:00,如何看透对方的心理？1.约你去私人影院的男生，多半是想打你主意。2.平时不爱发朋友圈的人，要么现实中很优秀，不需要寻求认同。要么就是没有生活，发不出朋友圈！3.无论男女，刚认识就叫宝贝，亲爱的。不是他多喜欢你，是他对不同人叫过很多遍。4.如果你和一个人相处感觉非常舒服，自己又能学 ​,男,广东,19
xbl187,3月13日 11:07,听游老的演讲《献给春天，献给你》有感。       人的前半生，最难的是见自己。见自己后可能有两条路：“躺平”和“进宅门”。       所谓“躺平”是指一些人见到自己后，害怕了，再也不前进了，听天由命了。还有一些人会在自己认知里惯性思维，做自己熟悉的事，反复做，没有创新，直到周期结束，做的 ​,女,江苏,22
Zhang呀呀呀zhen,3月13日 10:26,我觉得我是一个悲观主义者遇到事情，胡思乱想一番，哭一场，一切又都变好了但不是那样的。哭过也不会改变年纪轻轻的 有什么不能重新来过啊可是没有共同前进的人拥有躺平思想的，真的很苦恼 ​,男,上海,20
释尹兮syx,3月13日 09:34,王德峰说人到四十还不信命 此人悟性太差 。也有励志文案说： 人可以信命但不认命。那么不认命是对抗命运吗？恰恰相反，我反倒觉得是一种臣服。臣服不是妥协 也不是躺平摆烂 而是真正的能够产生觉察性 这种觉察深入到你的内在潜意识 通过业力程序去看见自己的问题 而当你真正的看见自己的问题并能够去超 ​,男,安徽,20
大祭司召唤师,3月13日 09:17,做猎头首先是激情，自我心态要明确。做猎头如果你仅仅是作为被迫去做的职业，那你一定做不好。做任何一份职业工作都要想清楚，自己想要什么？除了钱，这个不用去说，钱之外的东西，你要好好想想，是长期主义，还是做一次“一夜暴富”的梦就上岸躺平了。如果只是为了赚快钱、和苛求一个高底薪，忽略其他 ​,女,湖北,19
琦_双城生活,3月13日 09:00,今年的三八节看到一条信息，说中国目前有1亿剩女…有意思的是，作者认为这个结果是资本推广消费主义，即“女性负责消费，男性负责买单”，把普女捧成小仙女，造成普女择偶标准变得不切实际，而引发的结果…所以，世界上一切变坏的现象，都是“资本”这个反派来买单？        在革命之路这部电影了，男 ​,男,浙江,24
异邦骑士Q,3月13日 07:36,”反者道之动，弱者道之用”此话出自《道德经》如果这句话好好领悟并践行，生活中很多问题都可得到解决。如果生活中做某件事不顺，你不妨试着反着去做，这往往就是在遵循道，那么事情就容易做成。如果说我们从小就被灌输正确的观念为何我们还过不好这一生从小到大，我们被灌输的认知就是 ​,女,内蒙古,20
七一不李姐,3月13日 05:58,最近真的有点懒惰 这里想加个躺平的贴图 想好的2023年的总结也没写 趁着今晚睡不着连着最近的心情写一写吧我的第二次考编又以失败告终啦 实际上没有很难过 其实做好了这样的心理准备 这次没有让我很沮丧 从某些程度来说我还是进步了的 我非常善用精神胜利法嘻嘻我要把2023年分为上半年和下半年两个部 ​,男,广东,20
蕤玉12,3月13日 04:51,已经做好通宵失眠的准备了！本人读博期间小型深夜电台之，精神逆流episode1不定期由<寝室床>电台独家冠名播出本期主题：完美主义主持人：三无熊胆君嘉宾：想躺平的茂茂君茂茂君在持续一个月的抑郁状态后，在昨天晚上突然焦虑大爆发，失眠伴有躯体障碍。今天晚上接着焦虑，且症状加剧。在艰难小 ​,男,上海,19
河神求暴富,03月12日 22:31,同事几人按例小聚，三杯两盏后抒发心中苦闷，感慨怀才不遇，十年寒窗苦读，一朝金榜题名，在大城市与小县城之中选了后者，每个月拿着三五斗米，上层蝇营狗苟追名逐利，官僚主义盛行，下层通宵达旦无人问津。人各有命，躺平者才高八斗身名远扬扶摇直上，劳力者才疏学浅无人问津进退两难。因缘际会本可直 ​,女,江苏,21
